time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.0282964	1	2	4	57	0.000233927
0.0283455	7	1	4	57	0.000595531
0.0283589	1	2	4	57	0.000233927
0.0283857	4	1	4	245	0.000635713
0.028408	4	2	4	216	0.000595531
0.028408	7	1	4	36	0.000283031
0.0284214	4	2	4	57	0.000233927
0.0284259	7	1	4	159	0.000238391
0.0284839	1	2	4	57	0.000233927
0.028533	7	1	4	57	0.000908031
0.0285464	1	2	4	57	0.000233927
0.0285598	7	1	4	114	0.000247319
0.0286357	4	1	4	164	0.000635713
0.0286714	1	2	4	57	0.000233927
0.0287205	4	2	4	57	0.000658031
0.0287339	4	2	4	57	0.000233927
0.0287964	1	2	4	57	0.000233927
0.0288455	4	2	4	57	0.000595531
0.0288589	1	2	4	57	0.000233927
0.0288857	4	1	4	245	0.000635713
0.0289705	4	2	4	36	0.000283031
0.0289839	1	2	4	57	0.000233927
0.029033	4	2	4	36	0.000283031
0.0290464	1	2	4	57	0.000233927
0.0290955	7	1	4	36	0.000283031
0.0291357	4	1	4	164	0.000635713
0.029158	7	1	4	57	0.000595531
0.0291714	1	2	4	57	0.000233927
0.0292205	4	2	4	57	0.000908031
0.0292339	4	2	4	57	0.000233927
0.029283	7	1	4	36	0.000283031
0.0292964	1	2	4	57	0.000233927
0.0293455	7	1	4	57	0.000908031
0.0293589	1	2	4	57	0.000233927
0.0293679	7	1	4	216	0.000242855
0.0293857	4	1	4	245	0.000635713
0.029408	4	2	4	159	0.000595531
0.0294214	4	2	4	57	0.000233927
0.0294839	1	2	4	57	0.000233927
0.029533	7	1	4	57	0.000908031
0.0295464	1	2	4	57	0.000233927
0.0295598	7	1	4	114	0.000247319
0.0296357	4	1	4	164	0.000635713
0.0296714	1	2	4	57	0.000233927
0.0297205	4	2	4	36	0.000283031
0.0297339	4	2	4	23	0.000233927
0.0297964	1	2	4	57	0.000233927
0.0298321	1	1	4	245	0.00208214
0.0298455	4	2	4	57	0.000595531
0.0298589	1	2	4	57	0.000233927
0.0298857	4	1	4	245	0.000635713
0.0299705	4	2	4	57	0.000908031
0.0299839	1	2	4	57	0.000233927
0.030033	7	1	4	57	0.000595531
0.0300464	1	2	4	57	0.000233927
0.0300821	1	1	4	164	0.00208214
0.0300955	7	1	4	36	0.000283031
0.0301357	4	1	4	164	0.000635713
0.030158	7	1	4	57	0.000595531
0.0301714	1	2	4	57	0.000233927
0.0302205	4	2	4	57	0.000908031
0.0302339	4	2	4	57	0.000233927
0.030283	7	1	4	36	0.000283031
0.0302964	1	2	4	57	0.000233927
0.0303321	1	1	4	245	0.00208214
0.0303455	4	2	4	170	0.000595531
0.0303455	7	1	4	36	0.000283031
0.0303589	1	2	4	57	0.000233927
0.0303857	4	1	4	245	0.000635713
0.0304705	4	2	4	36	0.000283031
0.0304839	1	2	4	57	0.000233927
0.030533	4	2	4	36	0.000283031
0.030533	7	1	4	57	0.000908031
0.0305464	1	2	4	57	0.000233927
0.0305598	7	1	4	114	0.000247319
0.0305821	1	1	4	164	0.00208214
0.0306357	4	1	4	164	0.000635713
0.0306714	1	2	4	57	0.000233927
0.0307205	4	2	4	57	0.000908031
0.0307205	7	1	4	182	0.000595531
0.0307339	4	2	4	57	0.000233927
0.0307964	1	2	4	57	0.000233927
0.0308321	1	1	4	245	0.00208214
0.0308589	1	2	4	57	0.000233927
0.0308857	4	1	4	245	0.000635713
0.030908	4	2	4	159	0.000595531
0.0309214	4	2	4	57	0.000233927
0.0309839	1	2	4	57	0.000233927
0.0310464	1	1	4	1223	0.000796426
0.0310464	1	2	4	57	0.000233927
0.0310955	7	1	4	57	0.000595531
0.0311357	4	1	4	164	0.000635713
0.0311714	1	2	4	57	0.000233927
0.0312205	4	2	4	36	0.000283031
0.0312205	7	1	4	57	0.000595531
0.0312339	4	2	4	23	0.000233927
0.031283	7	1	4	36	0.000283031
0.0312964	1	2	4	57	0.000233927
0.0313455	4	2	4	57	0.000595531
0.0313589	1	2	4	57	0.000233927
0.0313857	4	1	4	245	0.000635713
0.031408	4	2	4	57	0.000595531
0.031408	7	1	4	36	0.000283031
0.0314705	4	2	4	57	0.000908031
0.0314839	1	2	4	57	0.000233927
0.0315062	7	1	4	216	0.000256247
0.0315464	1	2	4	57	0.000233927
0.0316357	4	1	4	164	0.000635713
0.031658	7	1	4	57	0.000908031
0.0316714	1	2	4	57	0.000233927
0.0316759	7	1	4	57	0.000238391
0.031783	7	1	4	57	0.00122053
0.0317964	1	2	4	57	0.000233927
0.0318009	7	1	4	57	0.000238391
0.0318455	4	2	4	170	0.000595531
0.0318589	1	2	4	57	0.000233927
0.0318857	4	1	4	245	0.000635713
0.031908	4	2	4	57	0.000595531
0.0319705	4	2	4	36	0.000283031
0.0319705	7	1	4	36	0.000283031
0.0319839	1	2	4	57	0.000233927
0.0320464	1	2	4	57	0.000233927
0.0320955	4	2	4	36	0.000283031
0.0321357	4	1	4	164	0.000635713
0.032158	4	2	4	36	0.000283031
0.0321714	1	2	4	57	0.000233927
0.0322205	7	1	4	57	0.000908031
0.0322384	7	1	4	57	0.000238391
0.0322964	1	2	4	57	0.000233927
0.0323455	4	2	4	57	0.000908031
0.0323589	1	2	4	57	0.000233927
0.0323857	4	1	4	245	0.000635713
0.032408	7	1	4	57	0.000595531
0.0324705	7	1	4	36	0.000283031
0.0324839	1	2	4	57	0.000233927
0.032533	4	2	4	182	0.000595531
0.032533	7	1	4	36	0.000283031
0.0325464	1	2	4	57	0.000233927
0.0325509	4	2	4	114	0.000238391
0.0325821	1	1	4	164	0.00208214
0.0326357	4	1	4	164	0.000635713
0.032658	7	1	4	80	0.000908031
0.0326714	1	2	4	57	0.000233927
0.0326759	7	1	4	57	0.000238391
