Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.102121	DL	10	2	1	1	12	7	0	1	229	8	1	0	4.67532	6	0	0
0.102183	DL	10	2	2	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102183	DL	10	2	2	1	12	4	0	2	39	0	1	2	-9.44036	0	0	7.27807e-13
0.102183	DL	10	2	2	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102232	DL	10	2	0	1	12	1	1	1	171	0	1	0	5.1093	7	0	0
0.102232	DL	10	2	0	1	12	4	1	1	171	0	1	0	46.7866	15	0	0
0.102246	DL	10	2	3	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102246	DL	10	2	3	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.102246	DL	10	2	3	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102308	DL	10	2	4	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102308	DL	10	2	4	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.102308	DL	10	2	4	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102371	DL	10	2	5	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102371	DL	10	2	5	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.102371	DL	10	2	5	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102433	DL	10	2	6	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102433	DL	10	2	6	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.102433	DL	10	2	6	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102482	DL	10	2	1	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.102482	DL	10	2	1	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.102496	DL	10	2	7	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102496	DL	10	2	7	1	12	4	0	2	387	12	1	0	-9.44036	0	1	1
0.102496	DL	10	2	7	1	12	7	0	1	313	10	1	0	3.66677	5	0	0.00411455
0.102558	DL	10	2	8	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102558	DL	10	2	8	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.102558	DL	10	2	8	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102621	DL	10	2	9	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102621	DL	10	2	9	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.102621	DL	10	2	9	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102683	DL	10	2	10	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102683	DL	10	2	10	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.102683	DL	10	2	10	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102732	DL	10	2	2	1	12	1	1	1	1605	12	1	0	5.1093	7	0	3.93336e-07
0.102732	DL	10	2	2	1	12	4	1	1	5990	28	1	0	46.7866	15	0	0
0.102746	DL	10	2	11	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102746	DL	10	2	11	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.102746	DL	10	2	11	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102808	DL	10	2	12	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102808	DL	10	2	12	1	12	4	0	2	387	12	1	1	-9.44036	0	1	1
0.102808	DL	10	2	12	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102871	DL	10	2	13	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102871	DL	10	2	13	1	12	4	0	2	39	0	1	1	-9.44036	0	0	0.0968173
0.102871	DL	10	2	13	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
0.102933	DL	10	2	14	1	12	1	0	2	1454	28	1	0	23.1112	15	0	0
0.102933	DL	10	2	14	1	12	4	0	2	39	0	1	0	-9.44036	0	1	0.999993
0.102933	DL	10	2	14	1	12	7	0	1	229	8	1	0	3.66677	5	0	0
