% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.105875	7	0	0	1	10	6	0	1	12	13	1	0	0	39
0.105938	1	0	0	2	10	6	1	1	12	12	1	0	28	1454
0.105938	7	0	0	1	10	6	1	1	12	12	1	0	0	39
0.106	1	1	0	1	10	6	2	1	12	12	1	0	12	1605
0.106	4	1	0	1	10	6	2	1	12	13	1	0	28	5990
0.106	1	0	0	2	10	6	2	1	12	15	1	0	28	1454
0.106	7	0	0	1	10	6	2	1	12	11	1	0	0	39
0.106063	1	0	0	2	10	6	3	1	12	14	1	0	28	1454
0.106063	7	0	0	1	10	6	3	1	12	15	1	0	0	39
0.106125	1	0	0	2	10	6	4	1	12	13	1	0	28	1454
0.106125	4	0	0	2	10	6	4	1	12	12	1	0	0	39
0.106125	7	0	0	1	10	6	4	1	12	14	1	0	0	39
0.106188	1	0	0	2	10	6	5	1	12	11	1	0	28	1454
0.106188	4	0	0	2	10	6	5	1	12	15	1	0	16	630
0.106188	7	0	0	1	10	6	5	1	12	13	1	0	6	155
0.10625	1	1	0	1	10	6	3	1	12	11	1	0	28	5990
0.10625	4	1	0	1	10	6	3	1	12	12	1	0	28	5990
0.10625	1	0	0	2	10	6	6	1	12	12	1	0	28	1454
0.10625	4	0	0	2	10	6	6	1	12	11	1	0	0	39
0.10625	7	0	0	1	10	6	6	1	12	12	1	0	0	39
0.106313	1	0	0	2	10	6	7	1	12	15	1	0	28	1454
0.106313	7	0	0	1	10	6	7	1	12	11	1	0	0	39
0.106375	1	0	0	2	10	6	8	1	12	14	1	0	28	1454
0.106375	7	0	0	1	10	6	8	1	12	15	1	0	0	39
0.106438	1	0	0	2	10	6	9	1	12	13	1	0	28	1454
0.106438	7	0	0	1	10	6	9	1	12	14	1	0	0	39
0.1065	4	1	0	1	10	7	0	1	12	15	1	0	28	5990
0.1065	1	0	0	2	10	6	10	1	12	11	1	0	28	1454
0.106563	1	0	0	2	10	6	11	1	12	12	1	0	28	1454
0.106563	7	0	0	1	10	6	11	1	12	12	1	0	0	39
0.106625	1	0	0	2	10	6	12	1	12	15	1	0	28	1454
0.106625	4	0	0	2	10	6	12	1	12	14	1	0	0	39
0.106625	7	0	0	1	10	6	12	1	12	11	1	0	0	39
0.106688	1	0	0	2	10	6	13	1	12	14	1	0	28	1454
0.106688	4	0	0	2	10	6	13	1	12	13	1	0	0	39
0.106688	7	0	0	1	10	6	13	1	12	15	1	0	0	39
0.10675	1	1	0	1	10	7	1	1	12	14	1	0	12	1605
0.10675	4	1	0	1	10	7	1	1	12	11	1	0	28	5990
0.10675	1	0	0	2	10	6	14	1	12	13	1	0	28	1454
0.10675	7	0	0	1	10	6	14	1	12	14	1	0	0	39
0.106813	1	0	0	2	10	6	15	1	12	11	1	0	28	1454
0.106875	1	0	0	2	10	7	0	1	12	12	1	0	28	1454
0.106875	7	0	0	1	10	7	0	1	12	12	1	0	0	39
0.106938	1	0	0	2	10	7	1	1	11	15	1	0	28	1332
0.106938	7	0	0	1	10	7	1	1	12	11	1	0	0	39
0.107	1	1	0	1	10	7	2	1	12	13	1	0	12	1605
0.107	4	1	0	1	10	7	2	1	12	14	1	0	28	5990
0.107	1	0	0	2	10	7	2	1	12	14	1	0	28	1454
0.107	7	0	0	1	10	7	2	1	12	15	1	0	0	39
0.107063	1	0	0	2	10	7	3	1	12	13	1	0	28	1454
0.107063	7	0	0	1	10	7	3	1	12	14	1	0	0	39
0.107125	1	0	0	2	10	7	4	1	12	10	1	0	28	1454
0.107125	7	0	0	1	10	7	4	1	12	13	1	0	0	39
0.107188	1	0	0	2	10	7	5	1	12	12	1	0	28	1454
0.107188	7	0	0	1	10	7	5	1	12	12	1	0	0	39
0.10725	1	1	0	1	10	7	3	1	12	12	1	0	12	1605
0.10725	4	1	0	1	10	7	3	1	12	13	1	0	28	5990
0.10725	1	0	0	2	10	7	6	1	12	15	1	0	28	1454
0.10725	4	0	0	2	10	7	6	1	12	14	1	0	0	39
0.10725	7	0	0	1	10	7	6	1	12	11	1	0	0	39
0.107313	1	0	0	2	10	7	7	1	12	14	1	0	28	1454
0.107313	7	0	0	1	10	7	7	1	12	15	1	0	6	155
0.107375	1	0	0	2	10	7	8	1	12	13	1	0	28	1454
0.107375	4	0	0	2	10	7	8	1	12	12	1	0	0	39
0.107375	7	0	0	1	10	7	8	1	12	14	1	0	0	39
0.107438	1	0	0	2	10	7	9	1	12	11	1	0	28	1454
0.107438	4	0	0	2	10	7	9	1	12	15	1	0	0	39
0.107438	7	0	0	1	10	7	9	1	12	13	1	0	0	39
0.1075	4	1	0	1	10	8	0	1	12	12	1	0	28	5990
0.1075	1	0	0	2	10	7	10	1	12	12	1	0	28	1454
0.1075	4	0	0	2	10	7	10	1	12	11	1	0	0	39
0.1075	7	0	0	1	10	7	10	1	12	12	1	0	0	39
0.107563	1	0	0	2	10	7	11	1	12	15	1	0	28	1454
0.107563	7	0	0	1	10	7	11	1	12	11	1	0	0	39
0.107625	1	0	0	2	10	7	12	1	12	14	1	0	28	1454
0.107688	1	0	0	2	10	7	13	1	12	13	1	0	28	1454
0.107688	7	0	0	1	10	7	13	1	12	14	1	0	0	39
0.10775	1	1	0	1	10	8	1	1	12	15	1	0	12	1605
0.10775	4	1	0	1	10	8	1	1	12	15	1	0	28	5990
0.10775	1	0	0	2	10	7	14	1	12	11	1	0	28	1454
0.10775	7	0	0	1	10	7	14	1	12	13	1	0	0	39
0.107813	1	0	0	2	10	7	15	1	12	12	1	0	28	1454
0.107813	7	0	0	1	10	7	15	1	12	12	1	0	0	39
0.107875	1	0	0	2	10	8	0	1	12	15	1	0	28	1454
0.107875	7	0	0	1	10	8	0	1	12	11	1	0	0	39
0.107938	1	0	0	2	10	8	1	1	12	14	1	0	28	1454
0.107938	4	0	0	2	10	8	1	1	12	13	1	0	0	39
0.108	1	1	0	1	10	8	2	1	12	14	1	0	12	1605
0.108	4	1	0	1	10	8	2	1	12	11	1	0	28	5990
0.108	1	0	0	2	10	8	2	1	12	13	1	0	28	1454
0.108	7	0	0	1	10	8	2	1	12	14	1	0	0	39
0.108063	1	0	0	2	10	8	3	1	12	11	1	0	28	1454
0.108063	7	0	0	1	10	8	3	1	12	13	1	0	0	39
0.108125	1	0	0	2	10	8	4	1	12	12	1	0	28	1454
0.108125	7	0	0	1	10	8	4	1	12	12	1	0	0	39
0.108188	1	0	0	2	10	8	5	1	12	15	1	0	28	1454
0.108188	4	0	0	2	10	8	5	1	11	10	1	0	0	35
0.108188	7	0	0	1	10	8	5	1	12	11	1	0	0	39
0.10825	1	1	0	1	10	8	3	1	12	13	1	0	12	1605
0.10825	4	1	0	1	10	8	3	1	12	14	1	0	28	5990
0.10825	1	0	0	2	10	8	6	1	12	14	1	0	28	1454
0.10825	7	0	0	1	10	8	6	1	12	15	1	0	0	39
0.108313	1	0	0	2	10	8	7	1	12	13	1	0	28	1454
0.108313	7	0	0	1	10	8	7	1	12	14	1	0	0	39
0.108375	1	0	0	2	10	8	8	1	12	11	1	0	28	1454
0.108375	7	0	0	1	10	8	8	1	12	13	1	0	0	39
0.108438	1	0	0	2	10	8	9	1	12	12	1	0	28	1454
0.108438	7	0	0	1	10	8	9	1	12	12	1	0	0	39
0.1085	1	1	0	1	10	9	0	1	12	12	1	0	12	1605
0.1085	4	1	0	1	10	9	0	1	12	13	1	0	28	5990
0.1085	1	0	0	2	10	8	10	1	12	15	1	0	28	1454
0.1085	7	0	0	1	10	8	10	1	12	11	1	0	0	39
0.108563	1	0	0	2	10	8	11	1	12	14	1	0	28	1454
0.108563	7	0	0	1	10	8	11	1	12	15	1	0	0	39
0.108625	1	0	0	2	10	8	12	1	12	13	1	0	28	1454
0.108625	7	0	0	1	10	8	12	1	12	14	1	0	0	39
0.108688	1	0	0	2	10	8	13	1	12	11	1	0	28	1454
0.108688	4	0	0	2	10	8	13	1	12	14	1	0	0	39
0.108688	7	0	0	1	10	8	13	1	12	13	1	0	0	39
0.10875	4	1	0	1	10	9	1	1	12	12	1	0	28	5990
0.10875	1	0	0	2	10	8	14	1	12	12	1	0	28	1454
0.10875	4	0	0	2	10	8	14	1	12	15	1	0	0	39
0.10875	7	0	0	1	10	8	14	1	12	12	1	0	0	39
0.108813	1	0	0	2	10	8	15	1	12	15	1	0	28	1454
0.108813	4	0	0	2	10	8	15	1	12	12	1	0	0	39
0.108813	7	0	0	1	10	8	15	1	12	11	1	0	0	39
0.108875	1	0	0	2	10	9	0	1	12	14	1	0	28	1454
0.108875	7	0	0	1	10	9	0	1	12	15	1	0	0	39
0.108938	1	0	0	2	10	9	1	1	12	13	1	0	28	1454
0.108938	7	0	0	1	10	9	1	1	12	14	1	0	0	39
0.109	1	1	0	1	10	9	2	1	12	15	1	0	12	1605
0.109	4	1	0	1	10	9	2	1	12	15	1	0	28	5990
0.109	1	0	0	2	10	9	2	1	12	11	1	0	28	1454
0.109	7	0	0	1	10	9	2	1	12	13	1	0	0	39
