Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.0308125	1	0	3	-81.3827
0.0308125	1	0	4	-86.0218
0.0319375	1	0	3	-81.3827
0.0319375	1	0	4	-86.0218
0.03225	1	1	3	-81.4445
0.03225	1	1	4	-86.0836
0.0331875	4	0	5	-85.8271
0.0331875	4	0	6	-83.4141
0.03475	7	1	8	-80.9505
0.035	1	0	3	-81.3827
0.035	1	0	4	-86.0218
0.035	4	0	5	-85.8271
0.035	4	0	6	-83.4141
0.035	7	0	8	-80.8887
0.0351875	7	0	8	-80.8887
0.03525	1	1	3	-81.4445
0.03525	1	1	4	-86.0836
0.0358125	1	0	3	-81.3827
0.0358125	1	0	4	-86.0218
0.0369375	1	0	3	-81.3827
0.0369375	1	0	4	-86.0218
0.0381875	4	0	5	-85.8271
0.0381875	4	0	6	-83.4141
0.04	1	0	3	-81.3827
0.04	1	0	4	-86.0218
0.04	4	0	5	-85.8271
0.04	4	0	6	-83.4141
0.04	7	0	8	-80.8887
0.0401875	7	0	8	-80.8887
0.0408125	1	0	3	-81.3827
0.0408125	1	0	4	-86.0218
0.0419375	1	0	3	-81.3827
0.0419375	1	0	4	-86.0218
0.0425	4	1	5	-85.8889
0.0425	4	1	6	-83.4759
0.0431875	4	0	5	-85.8271
0.0431875	4	0	6	-83.4141
0.04475	4	1	5	-85.8889
0.04475	4	1	6	-83.4759
0.045	1	0	3	-81.3827
0.045	1	0	4	-86.0218
0.045	4	0	5	-85.8271
0.045	4	0	6	-83.4141
0.045	7	0	8	-80.8887
0.0451875	7	0	8	-80.8887
0.0458125	1	0	3	-81.3827
0.0458125	1	0	4	-86.0218
0.0469375	1	0	3	-81.3827
0.0469375	1	0	4	-86.0218
0.0481875	4	0	5	-85.8271
0.0481875	4	0	6	-83.4141
0.05	1	0	3	-81.3827
0.05	1	0	4	-86.0218
0.05	4	0	5	-85.8271
0.05	4	0	6	-83.4141
0.05	7	0	8	-80.8887
0.0501875	7	0	8	-80.8887
0.0508125	1	0	3	-81.3827
0.0508125	1	0	4	-86.0218
0.0519375	1	0	3	-81.3827
0.0519375	1	0	4	-86.0218
0.05225	1	1	3	-81.4445
0.05225	1	1	4	-86.0836
0.0531875	4	0	5	-85.8271
0.0531875	4	0	6	-83.4141
0.05475	7	1	8	-80.9505
0.055	1	0	3	-81.3827
0.055	1	0	4	-86.0218
0.055	4	0	5	-85.8271
0.055	4	0	6	-83.4141
0.055	7	0	8	-80.8887
0.0551875	7	0	8	-80.8887
0.05525	1	1	3	-81.4445
0.05525	1	1	4	-86.0836
0.0558125	1	0	3	-81.3827
0.0558125	1	0	4	-86.0218
0.0569375	1	0	3	-81.3827
0.0569375	1	0	4	-86.0218
0.0581875	4	0	5	-85.8271
0.0581875	4	0	6	-83.4141
0.06	1	0	3	-81.3827
0.06	1	0	4	-86.0218
0.06	4	0	5	-85.8271
0.06	4	0	6	-83.4141
0.06	7	0	8	-80.8887
0.0601875	7	0	8	-80.8887
0.0608125	1	0	3	-81.3827
0.0608125	1	0	4	-86.0218
0.0619375	1	0	3	-81.3827
0.0619375	1	0	4	-86.0218
0.0625	4	1	5	-85.8889
0.0625	4	1	6	-83.4759
0.0631875	4	0	5	-85.8271
0.0631875	4	0	6	-83.4141
0.06475	4	1	5	-85.8889
0.06475	4	1	6	-83.4759
0.065	1	0	3	-81.3827
0.065	1	0	4	-86.0218
0.065	4	0	5	-85.8271
0.065	4	0	6	-83.4141
0.065	7	0	8	-80.8887
0.0651875	7	0	8	-80.8887
0.0658125	1	0	3	-81.3827
0.0658125	1	0	4	-86.0218
0.0669375	1	0	3	-81.3827
0.0669375	1	0	4	-86.0218
0.0681875	4	0	5	-85.8271
0.0681875	4	0	6	-83.4141
0.07	1	0	3	-81.3827
0.07	1	0	4	-86.0218
0.07	4	0	5	-85.8271
0.07	4	0	6	-83.4141
0.07	7	0	8	-80.8887
0.0701875	7	0	8	-80.8887
0.0708125	1	0	3	-81.3827
0.0708125	1	0	4	-86.0218
0.0719375	1	0	3	-81.3827
0.0719375	1	0	4	-86.0218
0.07225	1	1	3	-81.4445
0.07225	1	1	4	-86.0836
0.0731875	4	0	5	-85.8271
0.0731875	4	0	6	-83.4141
0.07475	7	1	8	-80.9505
0.075	1	0	3	-81.3827
0.075	1	0	4	-86.0218
0.075	4	0	5	-85.8271
0.075	4	0	6	-83.4141
0.075	7	0	8	-80.8887
0.0751875	7	0	8	-80.8887
0.07525	1	1	3	-81.4445
0.07525	1	1	4	-86.0836
0.0758125	1	0	3	-81.3827
0.0758125	1	0	4	-86.0218
0.0769375	1	0	3	-81.3827
0.0769375	1	0	4	-86.0218
0.0781875	4	0	5	-85.8271
0.0781875	4	0	6	-83.4141
0.08	1	0	3	-81.3827
0.08	1	0	4	-86.0218
0.08	4	0	5	-85.8271
0.08	4	0	6	-83.4141
0.08	7	0	8	-80.8887
0.0801875	7	0	8	-80.8887
0.0808125	1	0	3	-81.3827
0.0808125	1	0	4	-86.0218
0.0819375	1	0	3	-81.3827
0.0819375	1	0	4	-86.0218
0.0825	4	1	5	-85.8889
0.0825	4	1	6	-83.4759
0.0831875	4	0	5	-85.8271
0.0831875	4	0	6	-83.4141
0.08475	4	1	5	-85.8889
0.08475	4	1	6	-83.4759
0.085	1	0	3	-81.3827
0.085	1	0	4	-86.0218
0.085	4	0	5	-85.8271
0.085	4	0	6	-83.4141
0.085	7	0	8	-80.8887
0.0851875	7	0	8	-80.8887
0.0858125	1	0	3	-81.3827
0.0858125	1	0	4	-86.0218
0.0869375	1	0	3	-81.3827
0.0869375	1	0	4	-86.0218
0.0881875	4	0	5	-85.8271
0.0881875	4	0	6	-83.4141
0.09	1	0	3	-81.3827
0.09	1	0	4	-86.0218
0.09	4	0	5	-85.8271
0.09	4	0	6	-83.4141
0.09	7	0	8	-80.8887
0.0901875	7	0	8	-80.8887
0.0908125	1	0	3	-81.3827
0.0908125	1	0	4	-86.0218
0.0919375	1	0	3	-81.3827
0.0919375	1	0	4	-86.0218
0.09225	1	1	3	-81.4445
0.09225	1	1	4	-86.0836
0.0931875	4	0	5	-85.8271
0.0931875	4	0	6	-83.4141
0.09475	7	1	8	-80.9505
0.095	1	0	3	-81.3827
0.095	1	0	4	-86.0218
0.095	4	0	5	-85.8271
0.095	4	0	6	-83.4141
0.095	7	0	8	-80.8887
0.0951875	7	0	8	-80.8887
0.09525	1	1	3	-81.4445
0.09525	1	1	4	-86.0836
0.0958125	1	0	3	-81.3827
0.0958125	1	0	4	-86.0218
0.0969375	1	0	3	-81.3827
0.0969375	1	0	4	-86.0218
0.0981875	4	0	5	-85.8271
0.0981875	4	0	6	-83.4141
