Time	CellId	RNTI	BWPId	SINR(dB)
0.0231205	7	1	0	-2.14227
0.0231339	7	1	0	9.83385
0.023183	4	2	0	33.3084
0.0231964	1	2	0	35.102
0.0232009	7	1	0	35.6114
0.0232455	4	2	0	32.0571
0.0232589	1	2	0	61.0085
0.0232857	1	1	1	5.96355
0.0232857	4	1	1	31.0066
0.023308	4	2	0	10.9276
0.023308	7	1	0	-2.14227
0.0233661	4	2	0	20.0509
0.0233705	7	1	0	38.3861
0.0233839	1	2	0	35.102
0.0233884	7	1	0	35.6114
0.023433	4	2	0	32.0571
0.0234464	1	2	0	36.4221
0.0234554	4	2	0	31.4328
0.0234955	7	1	0	37.7861
0.0235134	7	1	0	39.1801
0.0235357	1	1	1	5.96355
0.0235357	4	1	1	31.0066
0.0235714	1	2	0	36.4221
0.0235714	4	2	0	-19.4362
0.0236205	7	1	0	38.6569
0.0236384	7	1	0	39.1801
0.0236964	1	2	0	33.1112
0.0236964	4	2	0	-19.4363
0.0236964	7	1	0	-5.10577
0.0237589	1	2	0	34.7386
0.0237589	7	1	0	-5.12102
0.0237857	1	1	1	5.96355
0.0237857	4	1	1	31.0066
0.023808	4	2	0	32.5582
0.0238214	4	2	0	33.6621
0.0238839	1	2	0	35.102
0.0238839	7	1	0	-5.11815
0.023933	4	2	0	32.4478
0.0239464	1	2	0	33.1112
0.0239464	7	1	0	-5.10577
0.0239955	4	2	0	33.2843
0.0240357	4	1	1	62.6319
0.024058	4	2	0	11.3051
0.024058	7	1	0	-1.89187
0.0240714	1	2	0	36.4221
0.0241205	4	2	0	32.8153
0.0241205	7	1	0	6.78146
0.0241339	4	2	0	21.5261
0.024183	7	1	0	38.8028
0.0241964	1	2	0	36.4221
0.0241964	4	2	0	-19.4362
0.0242321	1	1	1	65.8156
0.0242455	7	1	0	38.6569
0.0242589	1	2	0	36.4221
0.0242589	4	2	0	-19.4362
0.0242857	4	1	1	62.6319
0.024308	7	1	0	38.6569
0.0243705	7	1	0	39.0347
0.0243839	1	2	0	33.1112
0.0243839	4	2	0	-19.4363
0.0244018	7	1	0	38.2114
0.0244464	1	2	0	33.1112
0.0244464	4	2	0	-19.4363
0.0244464	7	1	0	-5.10577
0.0244821	1	1	1	65.8156
0.0245357	4	1	1	62.6319
0.024558	4	2	0	32.8255
0.0245714	1	2	0	35.102
0.0245714	7	1	0	-5.11815
0.0246205	4	2	0	32.4478
0.024683	4	2	0	33.6621
0.0246964	1	2	0	35.102
0.0246964	7	1	0	-5.11815
0.0247321	1	1	1	65.8156
0.0247455	4	2	0	32.4478
0.0247589	1	2	0	61.0085
0.0247857	4	1	1	62.6319
0.024808	4	2	0	10.9276
0.024808	7	1	0	-2.14227
0.0248705	4	2	0	20.1269
0.0248705	7	1	0	38.6206
0.0248839	1	2	0	36.4221
0.0248884	4	2	0	30.1837
0.024933	7	1	0	38.2433
0.0249464	1	2	0	33.1112
0.0249464	4	2	0	-19.4363
0.0249821	1	1	1	65.8156
0.0249955	7	1	0	38.8024
0.0250357	4	1	1	62.6319
0.025058	7	1	0	39.0347
