time(s)	cellId	rnti	lcid	packetSize
0.0349375	1	2	4	57
0.035	4	1	4	164
0.035	4	2	4	182
0.035	7	1	4	57
0.0350625	1	2	4	57
0.0350625	4	2	4	57
0.035125	1	2	4	57
0.035125	4	2	4	57
0.0351875	7	1	4	32
0.03525	4	1	4	245
0.03525	1	2	4	57
0.03525	4	2	4	57
0.03525	7	1	4	36
0.0353125	1	2	4	57
0.0353125	4	2	4	57
0.035375	7	1	4	162
0.0354375	1	2	4	57
0.0355	4	1	4	164
0.0355	4	2	4	36
0.0355	7	1	4	60
0.0355625	1	2	4	57
0.0355625	7	1	4	57
0.035625	1	2	4	57
0.035625	7	1	4	57
0.03575	1	1	4	1223
0.03575	4	1	4	245
0.03575	1	2	4	57
0.03575	7	1	4	57
0.0358125	1	2	4	57
0.0358125	4	2	4	249
0.0359375	1	2	4	57
0.036	1	1	4	164
0.036	4	1	4	164
0.036	4	2	4	57
0.036	7	1	4	36
0.0360625	1	2	4	57
0.0360625	4	2	4	57
0.036125	1	2	4	57
0.036125	7	1	4	36
0.0361875	4	2	4	57
0.03625	1	1	4	245
0.03625	4	1	4	245
0.03625	1	2	4	57
0.03625	4	2	4	57
0.0363125	1	2	4	57
0.0363125	4	2	4	57
0.0363125	7	1	4	272
0.0364375	1	2	4	57
0.0364375	4	2	4	36
0.0364375	7	1	4	57
0.0365	1	1	4	164
0.0365	4	1	4	164
0.0365	4	2	4	23
0.0365625	1	2	4	57
0.0365625	7	1	4	57
0.036625	1	2	4	57
0.036625	7	1	4	57
0.0366875	4	2	4	36
0.03675	1	1	4	245
0.03675	4	1	4	245
0.03675	1	2	4	57
0.03675	4	2	4	136
0.0368125	1	2	4	57
0.0368125	4	2	4	57
0.0368125	7	1	4	36
0.0369375	1	2	4	57
0.037	1	1	4	164
0.037	4	1	4	164
0.037	4	2	4	57
0.037	7	1	4	36
0.0370625	1	2	4	57
0.037125	1	2	4	57
0.037125	7	1	4	216
0.0371875	4	2	4	36
0.03725	4	1	4	245
0.03725	1	2	4	57
0.03725	4	2	4	136
0.0373125	1	2	4	57
0.0373125	4	2	4	57
0.0373125	7	1	4	114
0.0374375	1	2	4	57
0.0375	4	1	4	164
0.0375	4	2	4	57
0.0375	7	1	4	57
0.0375625	1	2	4	57
0.0375625	7	1	4	57
0.037625	1	2	4	57
0.037625	7	1	4	57
0.0376875	4	2	4	36
0.03775	4	1	4	245
0.03775	1	2	4	57
0.03775	4	2	4	36
0.03775	7	1	4	57
0.0378125	1	2	4	57
