time(s)	cellId	rnti	lcid	packetSize
0.0224002	4	2	4	55
0.0224003	7	1	4	55
0.0224004	1	1	4	80
0.0224005	4	1	4	80
0.0225002	1	2	4	55
0.0225002	4	2	4	55
0.0225003	7	1	4	55
0.0225004	1	1	4	80
0.0225005	4	1	4	80
0.0226002	1	2	4	55
0.0226002	4	2	4	55
0.0226003	7	1	4	55
0.0226004	1	1	4	80
0.0226005	4	1	4	80
0.0227002	1	2	4	55
0.0227002	4	2	4	55
0.0227003	7	1	4	55
0.0227004	1	1	4	80
0.0227005	4	1	4	80
0.0228002	1	2	4	55
0.0228002	4	2	4	55
0.0228003	7	1	4	55
0.0228004	1	1	4	80
0.0228005	4	1	4	80
0.0229002	1	2	4	55
0.0229002	4	2	4	55
0.0229003	7	1	4	55
0.0229004	1	1	4	80
0.0229005	4	1	4	80
0.0230002	1	2	4	55
0.0230002	4	2	4	55
0.0230003	7	1	4	55
0.0230004	1	1	4	80
0.0230005	4	1	4	80
0.0231002	1	2	4	55
0.0231002	4	2	4	55
0.0231003	7	1	4	55
0.0231004	1	1	4	80
0.0231005	4	1	4	80
0.0232002	1	2	4	55
0.0232002	4	2	4	55
0.0232003	7	1	4	55
0.0232004	1	1	4	80
0.0232005	4	1	4	80
0.0233002	1	2	4	55
0.0233002	4	2	4	55
0.0233003	7	1	4	55
0.0233004	1	1	4	80
0.0233005	4	1	4	80
0.0234002	1	2	4	55
0.0234002	4	2	4	55
0.0234003	7	1	4	55
0.0234004	1	1	4	80
0.0234005	4	1	4	80
0.0235002	1	2	4	55
0.0235002	4	2	4	55
0.0235003	7	1	4	55
0.0235004	1	1	4	80
0.0235005	4	1	4	80
0.0236002	1	2	4	55
0.0236002	4	2	4	55
0.0236003	7	1	4	55
0.0236004	1	1	4	80
0.0236005	4	1	4	80
0.0237002	1	2	4	55
0.0237002	4	2	4	55
0.0237003	7	1	4	55
0.0237004	1	1	4	80
0.0237005	4	1	4	80
0.0238002	1	2	4	55
0.0238002	4	2	4	55
0.0238003	7	1	4	55
0.0238004	1	1	4	80
0.0238005	4	1	4	80
0.0239002	1	2	4	55
0.0239002	4	2	4	55
0.0239003	7	1	4	55
0.0239004	1	1	4	80
0.0239005	4	1	4	80
0.0240002	1	2	4	55
0.0240002	4	2	4	55
0.0240003	7	1	4	55
0.0240004	1	1	4	80
0.0240005	4	1	4	80
0.0241002	1	2	4	55
0.0241002	4	2	4	55
0.0241003	7	1	4	55
0.0241004	1	1	4	80
0.0241005	4	1	4	80
0.0242002	1	2	4	55
0.0242002	4	2	4	55
0.0242003	7	1	4	55
0.0242004	1	1	4	80
0.0242005	4	1	4	80
0.0243002	1	2	4	55
0.0243002	4	2	4	55
0.0243003	7	1	4	55
0.0243004	1	1	4	80
0.0243005	4	1	4	80
0.0244002	1	2	4	55
0.0244002	4	2	4	55
0.0244003	7	1	4	55
0.0244004	1	1	4	80
0.0244005	4	1	4	80
0.0245002	1	2	4	55
0.0245002	4	2	4	55
0.0245003	7	1	4	55
0.0245004	1	1	4	80
0.0245005	4	1	4	80
0.0246002	1	2	4	55
0.0246002	4	2	4	55
0.0246003	7	1	4	55
