Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.0182589	DL	1	8	4	1	1	4	0	2	118	28	1	0	-19.4362	0	1	1
0.018308	DL	1	8	4	1	12	7	0	1	96	24	1	1	47.6878	15	0	0
0.0183705	DL	1	8	5	1	12	7	0	1	118	28	1	2	48.0533	15	0	0
0.0183839	DL	1	8	6	1	1	1	0	2	118	28	1	0	36.4221	15	0	5.701e-14
0.0183839	DL	1	8	6	1	1	4	0	2	118	28	1	0	-19.4362	0	1	1
0.018433	DL	1	8	6	1	12	7	0	1	118	28	1	2	47.6878	15	0	0
0.0184464	DL	1	8	7	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0184464	DL	1	8	7	1	1	4	0	2	118	28	1	0	-19.4363	0	1	1
0.0184777	DL	1	8	7	1	8	7	0	1	257	12	1	0	38.6004	15	0	0
0.0184821	DL	1	8	1	1	12	1	1	1	171	0	1	0	5.96355	7	0	0
0.0184821	DL	1	8	1	1	12	4	1	1	171	0	1	0	31.0066	15	0	0
0.0185357	DL	1	8	2	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.0185714	DL	1	8	2	1	3	1	1	1	399	12	1	0	64.7601	15	0	0
0.0185714	DL	1	8	9	1	1	1	0	2	118	28	1	0	35.102	15	0	5.701e-14
0.0185714	DL	1	8	9	1	1	7	0	1	118	28	1	0	-5.11815	0	1	1
0.0186205	DL	1	8	9	1	12	4	0	2	118	28	1	1	41.4787	15	0	0.595259
0.018683	DL	1	8	10	1	12	4	0	2	118	28	1	1	41.8564	15	0	0.595259
0.0186964	DL	1	8	11	1	1	1	0	2	118	28	1	0	35.102	15	0	5.701e-14
0.0186964	DL	1	8	11	1	1	7	0	1	118	28	1	0	-5.11815	0	1	1
0.0187455	DL	1	8	11	1	12	4	0	2	118	28	1	1	41.4787	15	0	0.595259
0.0187589	DL	1	8	12	1	1	1	0	2	118	28	1	0	35.102	15	0	5.701e-14
0.0187589	DL	1	8	12	1	1	7	0	1	118	28	1	0	-5.11815	0	1	1
0.0187857	DL	1	8	3	1	1	4	1	1	497	28	1	0	31.0066	15	0	0
0.0188036	DL	1	8	3	1	2	1	1	1	265	12	1	0	63.5108	15	0	0
0.018808	DL	1	8	12	1	12	4	0	2	118	28	1	1	41.4787	15	1	0.595259
0.0188705	DL	1	8	13	1	12	4	0	2	39	0	1	0	33.6621	15	0	0
0.0188839	DL	1	8	14	1	1	1	0	2	118	28	1	0	36.4221	15	0	5.701e-14
0.018933	DL	1	8	14	1	12	4	0	2	39	0	1	0	32.8153	14	0	0
0.018933	DL	1	8	14	1	12	7	0	1	118	28	1	1	15.8124	12	1	1
0.0189464	DL	1	8	15	1	1	1	0	2	118	28	1	0	33.1112	15	0	5.701e-14
0.0189509	DL	1	8	15	1	2	4	0	2	239	28	1	0	18.5171	14	1	1
