Time	CellId	RNTI	BWPId	SINR(dB)
0.106036	4	1	1	61.278
0.106058	4	2	0	11.3051
0.106058	7	1	0	-1.89187
0.106071	1	2	0	36.4221
0.106121	4	2	0	32.8153
0.106121	7	1	0	6.78146
0.106134	4	2	0	21.5261
0.106183	7	1	0	38.8028
0.106196	1	2	0	61.0085
0.106232	1	1	1	66.915
0.106246	4	2	0	10.9276
0.106246	7	1	0	-2.14227
0.106259	1	2	0	35.102
0.106286	4	1	1	51.1718
0.106308	4	2	0	19.7492
0.106308	7	1	0	38.2429
0.106371	4	2	0	11.3051
0.106371	7	1	0	-1.89187
0.106384	1	2	0	33.1112
0.106388	4	2	0	18.5171
0.106406	7	1	0	37.4208
0.106446	1	1	1	66.0674
0.106446	1	2	0	33.1112
0.106446	4	2	0	-19.4363
0.106446	7	1	0	-5.10577
0.106536	1	1	1	5.10933
0.106536	4	1	1	51.1718
0.106558	7	1	0	39.0347
0.106571	1	2	0	33.1112
0.106571	4	2	0	-19.4363
0.106576	7	1	0	36.1709
0.106683	7	1	0	39.0347
0.106696	1	2	0	34.9258
0.106701	7	1	0	35.3038
0.106746	4	2	0	31.9773
0.106759	1	2	0	61.0085
0.106786	1	1	1	5.10933
0.106786	4	1	1	51.1718
0.106808	4	2	0	10.9276
0.106808	7	1	0	-2.14227
0.106871	4	2	0	21.5261
0.106871	7	1	0	9.83385
0.106884	1	2	0	35.102
0.106884	7	1	0	-5.11815
0.106933	4	2	0	32.4478
0.106946	1	2	0	33.1112
0.106946	7	1	0	-5.10577
0.106996	4	2	0	33.2843
0.107036	1	1	1	5.10933
0.107036	4	1	1	51.1718
0.107058	4	2	0	33.6621
0.107071	1	2	0	36.4221
0.107076	4	2	0	30.1837
0.107121	7	1	0	38.1754
0.107138	7	1	0	39.1801
0.107196	1	2	0	61.0085
0.107246	4	2	0	10.9276
0.107246	7	1	0	-2.14227
0.107259	1	2	0	36.4221
0.107259	4	2	0	-19.4362
0.107286	1	1	1	5.10933
0.107286	4	1	1	51.1718
0.107308	7	1	0	38.6569
0.107371	7	1	0	39.1801
0.107384	1	2	0	34.9258
0.107433	4	2	0	19.6732
0.107433	7	1	0	37.9353
0.107446	1	2	0	33.1112
0.107451	4	2	0	18.5171
0.107451	7	1	0	6.96154
0.107536	1	1	1	5.10933
0.107536	4	1	1	51.1718
0.107558	7	1	0	39.0347
0.107571	1	2	0	35.102
0.107576	7	1	0	35.6114
0.107621	4	2	0	32.0571
0.107683	4	2	0	33.6621
0.107696	1	2	0	33.1112
0.107696	7	1	0	-5.10577
0.107746	4	2	0	33.2843
0.107759	1	2	0	36.1458
0.107759	4	2	0	-19.4362
0.107786	4	1	1	61.278
0.107808	7	1	0	38.6495
0.107826	7	1	0	39.1801
0.107884	1	2	0	35.102
0.107884	7	1	0	-5.11815
0.107933	4	2	0	32.4478
0.107946	1	2	0	33.1112
0.107946	4	2	0	-19.4363
0.107946	7	1	0	-5.10577
0.107982	1	1	1	66.915
0.108036	4	1	1	61.278
