time(s)	cellId	rnti	lcid	packetSize
0.1065	1	1	4	80
0.106501	4	1	4	80
0.1066	1	2	4	55
0.1066	4	2	4	55
0.1066	7	1	4	55
0.1066	1	1	4	80
0.106601	4	1	4	80
0.1067	1	2	4	55
0.1067	4	2	4	55
0.1067	7	1	4	55
0.1067	1	1	4	80
0.106701	4	1	4	80
0.1068	1	2	4	55
0.1068	4	2	4	55
0.1068	7	1	4	55
0.1068	1	1	4	80
0.106801	4	1	4	80
0.1069	1	2	4	55
0.1069	4	2	4	55
0.1069	7	1	4	55
0.1069	1	1	4	80
0.106901	4	1	4	80
0.107	1	2	4	55
0.107	4	2	4	55
0.107	7	1	4	55
0.107	1	1	4	80
0.107001	4	1	4	80
0.1071	1	2	4	55
0.1071	4	2	4	55
0.1071	7	1	4	55
0.1071	1	1	4	80
0.107101	4	1	4	80
0.1072	1	2	4	55
0.1072	4	2	4	55
0.1072	7	1	4	55
0.1072	1	1	4	80
0.107201	4	1	4	80
0.1073	1	2	4	55
0.1073	4	2	4	55
0.1073	7	1	4	55
0.1073	1	1	4	80
0.107301	4	1	4	80
0.1074	1	2	4	55
0.1074	4	2	4	55
0.1074	7	1	4	55
0.1074	1	1	4	80
0.107401	4	1	4	80
0.1075	1	2	4	55
0.1075	4	2	4	55
0.1075	7	1	4	55
0.1075	1	1	4	80
0.107501	4	1	4	80
0.1076	1	2	4	55
0.1076	4	2	4	55
0.1076	7	1	4	55
0.1076	1	1	4	80
0.107601	4	1	4	80
0.1077	1	2	4	55
0.1077	4	2	4	55
0.1077	7	1	4	55
0.1077	1	1	4	80
0.107701	4	1	4	80
0.1078	1	2	4	55
0.1078	4	2	4	55
0.1078	7	1	4	55
0.1078	1	1	4	80
0.107801	4	1	4	80
0.1079	1	2	4	55
0.1079	4	2	4	55
0.1079	7	1	4	55
0.1079	1	1	4	80
0.107901	4	1	4	80
0.108	1	2	4	55
0.108	4	2	4	55
0.108	7	1	4	55
0.108	1	1	4	80
0.108001	4	1	4	80
0.1081	1	2	4	55
0.1081	4	2	4	55
0.1081	7	1	4	55
0.1081	1	1	4	80
0.108101	4	1	4	80
0.1082	1	2	4	55
0.1082	4	2	4	55
0.1082	7	1	4	55
0.1082	1	1	4	80
0.108201	4	1	4	80
0.1083	1	2	4	55
0.1083	4	2	4	55
